Pattern,Support
deep learning | effectiveness | outperforms | social network,0.103448
deep learning | effectiveness | recommendation | robust,0.103448
deep learning | efficiency | matrix factorization,0.103448
deep learning | gradient descent | neural network | outperforms | social network,0.103448
deep learning | gradient descent | neural network | social network,0.103448
deep learning | gradient descent | robust | social network,0.103448
deep learning | matrix factorization | neural network | outperforms,0.103448
deep learning | matrix factorization | outperforms | social network,0.103448
deep learning | matrix factorization | social network,0.103448
deep learning | neural network | outperforms | recommendation | robust,0.103448
deep learning | neural network | outperforms | robust | social network,0.103448
deep learning | neural network | recommendation | robust,0.103448
deep learning | neural network | robust | social network,0.103448
deep learning | neural network | scalability,0.103448
effectiveness | efficiency | gradient descent | neural network,0.103448
effectiveness | efficiency | gradient descent | outperforms,0.103448
effectiveness | efficiency | neural network | outperforms | robust,0.103448
effectiveness | efficiency | recommendation,0.103448
effectiveness | feature extraction | outperforms,0.103448
effectiveness | gradient descent | neural network | outperforms | robust,0.103448
effectiveness | gradient descent | outperforms | robust,0.103448
effectiveness | gradient descent | social network,0.103448
effectiveness | matrix factorization | neural network,0.103448
effectiveness | matrix factorization | outperforms | robust,0.103448
effectiveness | neural network | outperforms | recommendation | robust,0.103448
effectiveness | robust | scalability,0.103448
effectiveness | robust | social network,0.103448
efficiency | feature extraction | outperforms,0.103448
efficiency | gradient descent | neural network | robust,0.103448
efficiency | matrix factorization | robust,0.103448
efficiency | random forest,0.103448
gradient descent | neural network | outperforms | recommendation,0.103448
gradient descent | neural network | recommendation,0.103448
gradient descent | robust | social network,0.103448
gradient descent | scalability,0.103448
matrix factorization | neural network | outperforms | social network,0.103448
matrix factorization | neural network | recommendation,0.103448
matrix factorization | neural network | social network,0.103448
matrix factorization | outperforms | recommendation | social network,0.103448
matrix factorization | recommendation | social network,0.103448
neural network | prediction performance,0.103448
outperforms | prediction performance,0.103448
random forest | robust,0.103448
